path	modified_secs	size	hash	documented_hash
.kaptaind/analysis/7f1cd0ce-6459-40e1-90fd-0d6903c4e35a.json	1783118550	796	1958440073177296732	1958440073177296732
.kaptaind/analysis/80c51718-90de-4241-9b6b-fa1f873dfc81.json	1783098752	796	14994635254583366308	14994635254583366308
.kaptaind/analysis/8c539084-cb29-4132-932a-5760182bad07.json	1783118736	1523	13564439572501767239	13564439572501767239
.kaptaind/analysis/8ef4d0c6-9361-4051-a944-3570d2cffeac.json	1783118025	1519	7821518201636975165	7821518201636975165
.kaptaind/analysis/909833e3-397b-44b0-a6d4-0df582948043.json	1783118111	1522	15447857753960855794	15447857753960855794
.kaptaind/analysis/91bfe245-c74d-47ac-aeb8-7c2d53424377.json	1783118083	1522	18260355115595245297	18260355115595245297
.kaptaind/analysis/92c42ab7-4028-48e8-a7f3-28bd7bd74266.json	1783098739	797	15384906097565486174	15384906097565486174
.kaptaind/analysis/a53b2864-9acc-495a-bfa4-ccc8394bc1e2.json	1783119009	1529	2612613932943908878	2612613932943908878
.kaptaind/analysis/b1941d26-fa87-4126-8738-8da40d49cd32.json	1783099501	797	4437505355499406219	4437505355499406219
.kaptaind/analysis/c9008b86-f71d-420b-9e22-cadc1c05c23f.json	1783118047	1525	15273044905540786080	15273044905540786080
.kaptaind/analysis/c93f6a29-28f0-4909-8704-79aa4bef79fc.json	1783118538	1525	3205238930818413437	3205238930818413437
.kaptaind/analysis/d069a331-1a98-4701-bdf9-f22b57f02623.json	1783117984	1522	14996189924260631576	14996189924260631576
.kaptaind/analysis/e7c133c5-0b9f-4c1a-a22a-59c68e032d00.json	1783098692	1564	7228084928244219768	7228084928244219768
.kaptaind/ast_cache.json	1783577412	14354	13055843724421289322	13055843724421289322
.kaptaind/status.json	1783119023	128	1955582834978157159	1955582834978157159
.kaptaind/telemetry.json	1783119023	246	15293308466136644673	15293308466136644673
.kaptaind/version_cache.json	1783577412	134	8818463811884250574	8818463811884250574
Cargo.toml	1783537835	649	15558819622570978054	15558819622570978054
README.md	1783681567	6199	10368127112504487604	10368127112504487604
deckhand.toml	1783096248	384	1283118057936683763	1283118057936683763
deliver.toml	1783098760	959	5222824198764074955	5222824198764074955
docs/LANGUAGES.md	1783118467	4850	16174045381941945305	16174045381941945305
docs/branding.md	1783098728	767	7536205389979194662	7536205389979194662
install.sh	1783096196	549	13486144893045089573	13486144893045089573
kaptaind.toml	1783096368	647	5599868291309997035	5599868291309997035
scripts/generate-logo.py	1783099471	8527	525092459231853857	525092459231853857
src/auto_clean.rs	1783690931	17068	4361543310459033097	4361543310459033097
src/auto_start.rs	1783681831	6259	15654809144171796038	15654809144171796038
src/build_system/cargo.rs	1783681831	4700	17027873958024377854	17027873958024377854
src/build_system/go.rs	1783537829	3078	18059305060645279353	18059305060645279353
src/build_system/gradle.rs	1783681831	4850	5199580680293340362	5199580680293340362
src/build_system/mod.rs	1783681831	6450	1444336826458558665	1444336826458558665
src/build_system/node.rs	1783681831	7935	39598227180935463	39598227180935463
src/build_system/python.rs	1783681831	4675	10222769660402174464	10222769660402174464
src/build_system/swift.rs	1783681831	3337	9583362457236359471	9583362457236359471
src/clean.rs	1783690712	3729	1187381037686321044	1187381037686321044
src/color.rs	1783681831	1962	5604854170538964820	5604854170538964820
src/config.rs	1783681655	18563	8862022915489972584	8862022915489972584
src/fmt.rs	1783537795	865	4167017933250371716	4167017933250371716
src/fs.rs	1784136723	1372	4227266710787947475	4227266710787947475
src/init.rs	1783681655	3793	3063810278667935180	3063810278667935180
src/inspect.rs	1783608224	13935	14439853153027179247	14439853153027179247
src/lib.rs	1783681655	4136	10861728977216143020	10861728977216143020
src/main.rs	1783690971	8855	17902433277808831686	17902433277808831686
src/status.rs	1783690864	5424	8051083777311873599	8051083777311873599
src/sweep.rs	1783690816	7637	8046240342114882404	8046240342114882404
src/test_util.rs	1783537773	1375	9397787563108683486	9397787563108683486
src/tts.rs	1783690996	13276	12998805054327122196	12998805054327122196
src/walk.rs	1783681831	6953	17730570141715458152	17730570141715458152
src/workspace.rs	1783681831	5637	7531439559726720104	7531439559726720104
